complaint_id,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
15-0001,23701040,white,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0001,86142007,white,male,1500 15TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0001,86142007,white,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0001,23701040,white,male,1500 15TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0002,,,,,Departmental Violation,No Sustained Findings,Not Applicable
15-0003,22284833,black,male,1800 18TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0003,53846151,white,male,1800 18TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0004,39732152,white,male,3900 39TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0005,97023965,white,male,3900 39TH DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
15-0005,97023965,white,male,3900 39TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
15-0006,84607011,white,male,6200 CENTRAL DETECTIVES,Departmental Violation,No Sustained Findings,Not Applicable
15-0007,87020570,latino,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0007,87020570,latino,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0007,63727495,white,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0007,63727495,white,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0008,76749727,white,male,6500 SOUTHWEST DET,Lack of Service,No Sustained Findings,Not Applicable
15-0008,76408807,black,male,6003 HOMICIDE UNIT,Lack of Service,No Sustained Findings,Not Applicable
15-0008,43159715,black,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0008,92841951,black,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0009,79755174,white,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,79755174,white,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,34298555,white,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,21874906,black,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,21874906,black,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,97503930,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,97503930,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,97503930,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,80784456,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,80784456,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,80784456,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0010,65283090,black,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0010,95949708,black,male,0600 06TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0010,95949708,black,male,0600 06TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0011,95869027,white,female,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0011,57627336,white,female,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0012,56961633,white,male,6600 NORTHWEST DETECTIVE,Sexual Crime/Misconduct,No Sustained Findings,Not Applicable
15-0012,56961633,white,male,6600 NORTHWEST DETECTIVE,Sexual Crime/Misconduct,No Sustained Findings,Not Applicable
15-0013,66761438,black,female,1400 14TH DISTRICT,Lack of Service,Sustained Finding,Pending
15-0013,74065973,white,male,1400 14TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0013,14171945,black,female,1400 14TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0014,89823114,white,male,1800 18TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0015,83925516,black,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0015,83925516,black,male,0600 06TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0015,83925516,black,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0015,83925516,black,male,0600 06TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0015,32980195,white,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0015,32980195,white,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0015,32980195,white,male,0600 06TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0016,90465471,white,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
15-0016,49873735,white,male,5300 HIGHWAY PATROL,Verbal Abuse,No Sustained Findings,Not Applicable
15-0017,55577699,black,male,4601 S.W.A.T.,Departmental Violation,No Sustained Findings,Not Applicable
15-0017,78089029,latino,male,4601 S.W.A.T.,Departmental Violation,No Sustained Findings,Not Applicable
15-0017,19325563,asian,male,4601 S.W.A.T.,Departmental Violation,No Sustained Findings,Not Applicable
15-0017,84672586,black,male,4601 S.W.A.T.,Departmental Violation,Sustained Finding,Training/Counseling
15-0017,52845193,white,male,4601 S.W.A.T.,Departmental Violation,No Sustained Findings,Not Applicable
15-0017,29247247,white,female,4601 S.W.A.T.,Departmental Violation,No Sustained Findings,Not Applicable
15-0017,84672586,black,male,4601 S.W.A.T.,Departmental Violation,Sustained Finding,Training/Counseling
15-0017,84672586,black,male,4601 S.W.A.T.,Departmental Violation,No Sustained Findings,Not Applicable
15-0017,67566186,white,male,4601 S.W.A.T.,Departmental Violation,No Sustained Findings,Not Applicable
15-0018,94374544,latino,male,9828 Criminal Intell Uni,Departmental Violation,No Sustained Findings,Not Applicable
15-0019,61461564,white,male,1200 12TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0019,61461564,white,male,1200 12TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0020,55171205,white,male,0600 06TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0021,83060857,black,female,0100 01ST DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
15-0022,43667661,latino,male,3500 35th District,Lack of Service,No Sustained Findings,Not Applicable
15-0022,35389978,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0022,43667661,latino,male,3500 35th District,Departmental Violation,No Sustained Findings,Not Applicable
15-0022,43667661,latino,male,3500 35th District,Departmental Violation,No Sustained Findings,Not Applicable
15-0022,35389978,white,male,3500 35TH DISTRICT,Departmental Violation,Sustained Finding,No Guilty Findings
15-0022,43667661,latino,male,3500 35th District,Departmental Violation,No Sustained Findings,Not Applicable
15-0022,43667661,latino,male,3500 35th District,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0022,43667661,latino,male,3500 35th District,Departmental Violation,Sustained Finding,Guilty Finding
15-0022,38794881,white,female,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0022,38794881,white,female,3500 35TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0022,38794881,white,female,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0022,35389978,white,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0022,35389978,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0022,22798272,black,male,3500 35TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0022,43667661,latino,male,3500 35th District,Departmental Violation,No Sustained Findings,Not Applicable
15-0022,35389978,white,male,3500 35TH DISTRICT,Departmental Violation,Sustained Finding,No Guilty Findings
15-0022,35389978,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0022,35389978,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0023,12140848,latino,male,5300 HIGHWAY PATROL,Verbal Abuse,No Sustained Findings,Not Applicable
15-0023,12140848,latino,male,5300 HIGHWAY PATROL,Criminal Allegation,No Sustained Findings,Not Applicable
15-0024,76921388,black,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0024,36368791,white,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0024,36368791,white,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0024,76921388,black,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0024,76921388,black,male,2500 25TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0024,76921388,black,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0025,69856492,white,male,3500 35TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
15-0025,41700937,white,male,3500 35TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
15-0026,81924287,latino,male,7402 NARCOTICS STRIKE FO,Departmental Violation,No Sustained Findings,Not Applicable
15-0026,81924287,latino,male,7402 NARCOTICS STRIKE FO,Physical Abuse,No Sustained Findings,Not Applicable
15-0026,81924287,latino,male,7402 NARCOTICS STRIKE FO,Physical Abuse,No Sustained Findings,Not Applicable
15-0026,38055536,white,female,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0026,86817666,white,female,7400 NARCOTICS INTEL / I,Departmental Violation,No Sustained Findings,Not Applicable
15-0027,77363588,white,male,0900 09TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0027,77363588,white,male,0900 09TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0027,88349229,white,male,0900 09TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0027,88349229,white,male,0900 09TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0028,81329137,white,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0028,81329137,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0028,72956010,white,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0028,72956010,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0029,77529413,white,female,0300 03RD DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0029,16010782,black,female,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0029,16010782,black,female,0300 03RD DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0029,17548868,black,male,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0029,17548868,black,male,0300 03RD DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0029,14814302,black,female,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0029,14814302,black,female,0300 03RD DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0029,35942727,asian,male,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0029,35942727,asian,male,0300 03RD DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0029,77529413,white,female,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0030,68427583,white,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0031,47524892,white,male,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0031,15649263,white,male,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0032,77538682,black,female,2200 22ND DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0032,,,,,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0033,92204229,black,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0033,15192129,black,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0034,57045747,asian,male,0200 02ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0035,89635316,white,male,7403 NARC FIELD UNIT NOR,Departmental Violation,No Sustained Findings,Not Applicable
15-0036,60780755,black,male,3900 39TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0036,60780755,black,male,3900 39TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0037,45954362,white,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0037,83142396,white,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0037,74429895,asian,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0038,29614602,black,female,4923 RADIO ROOM,Lack of Service,No Sustained Findings,Not Applicable
15-0038,81469385,black,female,4925 RADIO ROOM,Lack of Service,No Sustained Findings,Not Applicable
15-0039,95757448,black,male,3900 39TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0039,13420068,white,male,3900 39TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0040,74967195,black,male,5200 TRAFFIC DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0041,61650392,black,male,1400 14TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
15-0041,12471124,white,male,1400 14TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
15-0041,61650392,black,male,1400 14TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0041,12471124,white,male,1400 14TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0041,91161043,white,male,1400 14TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0041,91161043,white,male,1400 14TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
15-0041,98402063,white,male,1400 14TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
15-0041,98402063,white,male,1400 14TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0041,88128129,white,female,1400 14TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0042,13881837,white,male,1600 16TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0042,83281957,white,male,1600 16TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0042,83281957,white,male,1600 16TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0043,87966768,white,male,4500 CENTER CITY DISTRIC,Departmental Violation,No Sustained Findings,Not Applicable
15-0043,61860849,black,male,4500 CENTER CITY DISTRIC,Departmental Violation,No Sustained Findings,Not Applicable
15-0044,58212015,black,female,0500 05TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0044,58212015,black,female,0500 05TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0045,78836099,black,female,4922 RADIO ROOM,Lack of Service,Sustained Finding,Training/Counseling
15-0045,35344144,white,male,4922 RADIO ROOM,Lack of Service,Sustained Finding,Training/Counseling
15-0046,88945581,white,female,9852 CITY WIDE VICE,Criminal Allegation,No Sustained Findings,Not Applicable
15-0046,27828637,latino,male,6702 SPECIAL VICTIMS UNI,Criminal Allegation,No Sustained Findings,Not Applicable
15-0046,56141778,white,male,9852 CITY WIDE VICE,Criminal Allegation,No Sustained Findings,Not Applicable
15-0047,45737897,black,male,3900 39TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0048,12472497,white,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0048,38100511,black,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0049,70414735,white,male,7400 NARCOTICS INTEL / I,No C.A.P. Investigation,Not Applicable,Not Applicable
15-0050,68262788,white,female,7400 NARCOTICS INTEL / I,Departmental Violation,Sustained Finding,Training/Counseling
15-0050,86587640,white,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0050,18875467,white,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0051,56939660,black,male,0500 05TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0052,89090806,black,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0053,58694383,white,male,6702 SPECIAL VICTIMS UNI,Lack of Service,No Sustained Findings,Not Applicable
15-0053,83619272,white,male,6702 SPECIAL VICTIMS UNI,Criminal Allegation,Sustained Finding,No Guilty Findings
15-0053,54256936,white,male,6702 SPECIAL VICTIMS UNI,Lack of Service,No Sustained Findings,Not Applicable
15-0053,55659410,white,male,6702 SPECIAL VICTIMS UNI,Lack of Service,No Sustained Findings,Not Applicable
15-0053,27068864,black,female,6702 SPECIAL VICTIMS UNI,Verbal Abuse,No Sustained Findings,Not Applicable
15-0054,,,,,Physical Abuse,No Sustained Findings,Not Applicable
15-0054,12486230,white,male,2600 26TH DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
15-0055,97428056,white,male,0700 07TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0055,19763986,white,male,0700 07TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0056,76071664,white,male,1500 15TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
15-0056,96096994,white,male,1500 15TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
15-0056,96096994,white,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0056,96096994,white,male,1500 15TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0056,76071664,white,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0057,41623689,white,male,5300 HIGHWAY PATROL,Physical Abuse,No Sustained Findings,Not Applicable
15-0057,67980577,white,male,6004 MAJOR CRIME AUTO UN,Departmental Violation,No Sustained Findings,Not Applicable
15-0057,65453378,white,male,5300 HIGHWAY PATROL,Physical Abuse,No Sustained Findings,Not Applicable
15-0058,31729814,black,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0059,59675599,white,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0060,81742326,black,female,6500 SOUTHWEST DET,Lack of Service,No Sustained Findings,Not Applicable
15-0061,24904214,white,male,1600 16TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0061,63610078,white,male,1600 16TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0061,,,,,Departmental Violation,No Sustained Findings,Not Applicable
15-0062,31620466,white,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0062,25831186,white,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0062,16004945,black,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
15-0062,34843065,white,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
15-0063,76071664,white,male,1500 15TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
15-0063,96096994,white,male,1500 15TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
15-0064,96914445,black,female,1900 19TH DISTRICT,Unprofessional Conduct,Sustained Finding,Guilty Finding
15-0064,70527688,black,male,1900 19TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0065,87506372,asian,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0065,87506372,asian,male,1800 18TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0065,39295617,black,female,1800 18TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0065,87506372,asian,male,1800 18TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0065,87506372,asian,male,1800 18TH DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
15-0066,88067018,black,female,1800 18TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0066,69352151,white,male,1800 18TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
15-0066,74209997,white,male,1800 18TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
15-0067,65309526,white,male,2400 24TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0067,52298623,white,male,2400 24TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0067,52298623,white,male,2400 24TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0067,52298623,white,male,2400 24TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0067,52298623,white,male,2400 24TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
15-0068,87855359,latino,male,1900 19TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0068,29652711,asian,male,1900 19TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0069,70579530,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0069,31350786,asian,male,0200 02ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0069,23758546,white,male,9821 SAFETY OFFICE,Departmental Violation,Sustained Finding,Training/Counseling
15-0070,32986032,white,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0070,79424726,black,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0071,52847597,white,male,0700 07TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0072,28912336,black,male,1500 15TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
15-0073,39597398,latino,female,4922 RADIO ROOM,Lack of Service,No Sustained Findings,Not Applicable
15-0073,86149904,black,female,0700 07TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0073,50864908,white,female,4921 RADIO ROOM,Lack of Service,No Sustained Findings,Not Applicable
15-0074,34885637,black,male,0800 08TH DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
15-0074,34885637,black,male,0800 08TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0075,78564531,white,male,0600 06TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0075,,,,,Verbal Abuse,No Sustained Findings,Not Applicable
15-0076,90342389,white,male,0300 03RD DISTRICT,Harassment,No Sustained Findings,Not Applicable
15-0077,94309999,black,female,6400 NORTHEAST DET,Departmental Violation,No Sustained Findings,Not Applicable
15-0077,76283666,white,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0077,76283666,white,male,1500 15TH DISTRICT,Drugs,No Sustained Findings,Not Applicable
15-0078,95329152,latino,male,1500 15TH DISTRICT,Departmental Violation,Sustained Finding,Guilty Finding
15-0079,,,,,Departmental Violation,No Sustained Findings,Not Applicable
15-0079,56041871,white,male,2200 22ND DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0079,56041871,white,male,2200 22ND DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0080,90708543,black,male,2500 25TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0080,58880121,other,male,2500 25TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0081,93699914,asian,male,0100 01ST DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0082,,,,,Lack of Service,No Sustained Findings,Not Applicable
15-0083,29139100,black,male,1700 17TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0083,29139100,black,male,1700 17TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0083,29139100,black,male,1700 17TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0083,29139100,black,male,1700 17TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0083,29139100,black,male,1700 17TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0083,29139100,black,male,1700 17TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0083,29139100,black,male,1700 17TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0084,24189073,black,male,1700 17TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0085,14829408,latino,female,1400 14TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0085,73030855,white,male,1400 14TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0086,80194627,white,male,0800 08TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0086,71043359,latino,male,0800 08TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0087,19648973,white,male,7404 NARC FIELD UNIT EAS,Departmental Violation,No Sustained Findings,Not Applicable
15-0087,68587571,white,male,2600 26TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0088,95898897,black,female,0100 01ST DISTRICT,Harassment,No Sustained Findings,Not Applicable
15-0089,41970445,black,male,1600 16TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0089,41970445,black,male,1600 16TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0089,44403402,white,male,1600 16TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0090,,,,,Departmental Violation,No Sustained Findings,Not Applicable
15-0091,41571847,black,male,0500 05TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0092,53349878,black,male,3500 35TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
15-0092,66923829,black,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0092,66923829,black,male,3500 35TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
15-0092,53349878,black,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0093,43705255,white,female,9905 D/C  INTERNAL AFFAI,Harassment,No Sustained Findings,Not Applicable
15-0094,13362562,black,male,1600 16TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0094,70624505,latino,male,1600 16TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0095,50567933,latino,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0095,18075181,latino,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0095,50567933,latino,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0095,18075181,latino,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0095,18075181,latino,male,2500 25TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0095,50567933,latino,male,2500 25TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0096,90548211,black,male,5602 Neighborhood Servic,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0097,56202890,white,male,7400 NARCOTICS INTEL / I,Departmental Violation,Sustained Finding,Training/Counseling
15-0097,34426442,white,male,0200 02ND DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
15-0097,28391687,black,male,7404 NARC FIELD UNIT EAS,Departmental Violation,Sustained Finding,Training/Counseling
15-0097,34426442,white,male,0200 02ND DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0097,56202890,white,male,7400 NARCOTICS INTEL / I,Criminal Allegation,No Sustained Findings,Not Applicable
15-0097,31104623,white,male,0200 02ND DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
15-0097,31104623,white,male,0200 02ND DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
