complaint_id,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
15-0238,40865117,white,male,3500 35TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0239,73930189,white,male,3900 39TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0239,19265825,latino,male,3900 39TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0240,74358484,black,male,9828 Criminal Intell Uni,Verbal Abuse,No Sustained Findings,Not Applicable
15-0240,74358484,black,male,9828 Criminal Intell Uni,Departmental Violation,No Sustained Findings,Not Applicable
15-0240,94374544,latino,male,9828 Criminal Intell Uni,Departmental Violation,No Sustained Findings,Not Applicable
15-0240,94374544,latino,male,9828 Criminal Intell Uni,Verbal Abuse,Sustained Finding,Training/Counseling
15-0241,,,,,Verbal Abuse,No Sustained Findings,Not Applicable
15-0241,,,,,Physical Abuse,No Sustained Findings,Not Applicable
15-0241,,,,,Lack of Service,No Sustained Findings,Not Applicable
15-0242,80639230,white,male,0200 02ND DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
15-0243,30986863,black,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0244,54917833,white,male,0600 06TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0245,35878183,white,male,4500 CENTER CITY DISTRIC,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0246,22954484,white,male,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0246,22954484,white,male,0300 03RD DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0246,60532190,black,female,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0247,96382638,black,male,1800 18TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0248,42606965,black,male,5300 HIGHWAY PATROL,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0249,46167222,white,male,0800 08TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0249,32476884,white,male,0800 08TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0250,94964029,white,male,6600 NORTHWEST DETECTIVE,Departmental Violation,No Sustained Findings,Not Applicable
15-0251,97893258,black,male,1700 17TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0251,30677186,black,male,1700 17TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0252,33468400,latino,male,1700 17TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
15-0252,12759172,asian,male,1700 17TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
15-0253,87507402,latino,male,0300 03RD DISTRICT,Harassment,No Sustained Findings,Not Applicable
15-0254,60319330,white,male,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0254,75248548,white,male,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0255,11650411,white,male,1800 18TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0255,11650411,white,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0255,11650411,white,male,1800 18TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
15-0255,53846151,white,male,1800 18TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0255,53846151,white,male,1800 18TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
15-0255,53846151,white,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0256,14139673,white,male,2400 24TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
15-0256,14139673,white,male,2400 24TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0256,18251306,white,female,4923 RADIO ROOM,Harassment,No Sustained Findings,Not Applicable
15-0257,97893258,black,male,1700 17TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
15-0258,49168893,white,female,7402 NARCOTICS STRIKE FO,Departmental Violation,Sustained Finding,Training/Counseling
15-0258,49168893,white,female,7402 NARCOTICS STRIKE FO,Physical Abuse,No Sustained Findings,Not Applicable
15-0258,49168893,white,female,7402 NARCOTICS STRIKE FO,Verbal Abuse,No Sustained Findings,Not Applicable
15-0258,49168893,white,female,7402 NARCOTICS STRIKE FO,Sexual Crime/Misconduct,No Sustained Findings,Not Applicable
15-0259,59385492,white,female,5602 Neighborhood Servic,Verbal Abuse,No Sustained Findings,Not Applicable
15-0259,59385492,white,female,5602 Neighborhood Servic,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0259,99167672,white,male,5602 Neighborhood Servic,Verbal Abuse,No Sustained Findings,Not Applicable
15-0260,99372636,black,female,7403 NARC FIELD UNIT NOR,Departmental Violation,Sustained Finding,Training/Counseling
15-0260,95409662,latino,male,2200 22ND DISTRICT,Falsification,Sustained Finding,Guilty Finding
15-0260,95409662,latino,male,2200 22ND DISTRICT,Departmental Violation,Sustained Finding,Guilty Finding
15-0260,95409662,latino,male,2200 22ND DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
15-0260,95409662,latino,male,2200 22ND DISTRICT,Disciplinary Code Violation,Sustained Finding,Guilty Finding
15-0261,42606965,black,male,5300 HIGHWAY PATROL,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0262,63727495,white,male,1900 19TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0262,63727495,white,male,1900 19TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0263,25273630,black,male,5200 TRAFFIC DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0263,74967195,black,male,5200 TRAFFIC DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0264,42997323,white,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0264,42997323,white,male,1500 15TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0264,54838525,white,male,1500 15TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
15-0264,54838525,white,male,1500 15TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0264,54838525,white,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0264,54838525,white,male,1500 15TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0264,54838525,white,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0265,69034234,black,male,5300 HIGHWAY PATROL,Departmental Violation,Sustained Finding,Training/Counseling
15-0429,,,,,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0265,64994012,white,male,5300 HIGHWAY PATROL,Departmental Violation,Sustained Finding,Training/Counseling
15-0265,64994012,white,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
15-0266,71673356,black,female,0100 01ST DISTRICT,Harassment,No Sustained Findings,Not Applicable
15-0266,,,,,Verbal Abuse,No Sustained Findings,Not Applicable
15-0267,,,,,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0267,82161523,black,female,1200 12TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
